gene	PC1	PC2	PC3	PC4
CDC20B	0.015390421	-0.0063275312	0.0093512259	0.014646143
CDC42EP1	-0.018738632	0.00051829234	0.0044229361	-0.037228639
CDC42EP3	-0.018235057	0.0022085761	0.018980618	-0.048745755
CDH11	0.016404289	0.05028667	0.021745726	-0.067766111
CDH18	0.025461343	-0.0023320092	-0.0026736972	-0.00042612342
CDH3	-0.022921597	-0.0023270145	-0.016511898	-0.061161853
CDH5	0.022073469	0.028788333	0.010965341	0.012440471
CDH9	0.023792278	0.0001325322	-0.00069659953	0.0063389809
CDHR2	0.0093119721	0.0066365944	0.00092754923	0.024830302
CDHR3	0.014083546	-0.0085355451	0.019777976	0.026416063
CDK5R1	0.028930853	-0.013112731	-0.0062446486	-0.017066413
CDK5RAP2	0.0046854673	-0.00063445596	-0.0080020198	0.0077682026
CDKN2A	-0.0085690798	0.0024947241	-0.031089854	-0.015633364
CDO1	0.023160993	0.0061249216	-0.0032069675	-0.0046677063
CDS2	0.021079147	-0.011328414	-0.00024693765	0.0031060849
CDSN	0.014464975	0.00293438	0.0023199823	-0.0028088653
CEACAM1	-0.061037536	-0.044396924	0.080780368	0.010925332
CEACAM5	-0.031885804	-0.037714164	0.03049512	0.085383682
CELF3	0.024730259	-0.024709906	0.009738609	0.0089633558
CELF4	0.024717087	-0.018862355	-0.0042209309	-0.0024182586
CELF5	0.029218611	-0.0092606831	0.0040152933	-0.001384744
CEMIP	0.0096485803	0.029886873	-0.021492848	-0.011515793
CEND1	0.04321323	-0.020141913	-0.0027182168	-0.0067830088
CERCAM	0.026942436	0.0060348374	-0.0044398695	-0.021258172
CERS4	0.0072675403	-0.014033125	0.019831404	0.013343236
CES1	-0.011369802	-0.0029721101	-0.07663645	0.063615573
CES5A	0.015508093	-0.0004128611	0.0018015419	0.010846019
CFAP157	0.017041197	0.0027147555	0.006489145	0.012220321
CFB	-0.019494502	0.011969836	0.02023434	0.029524769
CFD	-0.0013114387	0.041885005	-0.017720162	-0.010540863
CFI	0.0056972142	0.0054466508	0.022729579	0.015243393
CFL2	0.0024133049	-0.0048442403	0.0034928498	-0.044497495
CGA	0.011788569	-0.00015089304	-0.007405611	0.021886661
CH25H	0.014268823	0.0059595849	0.014554165	-0.019762108
CHD5	0.03463809	-0.014794298	-0.01276556	-0.013880024
CHGA	0.041552944	-0.020948521	-0.002760423	0.0013757879
CHGB	0.032640533	-0.03050813	0.0078355735	0.011438201
CHI3L1	0.025949194	0.038278127	0.027336379	-0.076432203
CHI3L2	0.02386682	0.0007965246	-0.0014695786	0.0089046822
CHIA	0.012246444	0.0047630048	0.015105157	0.015763322
CHIT1	0.016838473	0.033893736	0.0024609113	0.013156688
CHL1	0.033276907	-0.02622174	0.013550291	0.01889305
CHN1	0.049928336	-0.019782372	-0.0045881486	-0.019351458
CHPT1	0.0065289618	-0.010517142	-0.01985612	0.027323985
CHRM1	0.025292256	-0.0070851062	-0.0051407824	0.0028213863
