compartment	gene	patient_id	lung	brain	delta_brain_minus_lung	detected_lung	detected_brain
tumour	LAG3	P14	5.6918132971713797	5.0967678547146891	-0.59504544245669067	False	False
tumour	LAG3	P15	5.4175150028850867	5.0578834488996263	-0.35963155398546043	False	False
tumour	LAG3	P16	5.0921228498386792	5.3778178530836449	0.28569500324496566	False	False
tumour	LAG3	P17	5.1558301715565253	5.2690331464552367	0.11320297489871134	False	False
tumour	LAG3	P18	5.5846619079414692	5.2102329900958493	-0.37442891784561994	False	False
tumour	LAG3	P19	4.8364291311616476	5.315783574589461	0.47935444342781341	False	False
tumour	LAG3	P2	5.0531113364595628	4.9015909919033698	-0.15152034455619301	False	False
tumour	LAG3	P20	5.056149961108142	5.6987741089036827	0.64262414779554078	False	False
tumour	LAG3	P21	5.5397791916984938	4.7311832415722002	-0.80859595012629359	False	False
tumour	LAG3	P24	5.3912865581111848	6.0038270781114758	0.61254052000029091	False	False
tumour	LAG3	P3	5.0360636887436954	5.270528942380718	0.23446525363702264	False	False
tumour	LAG3	P34	4.5704629310260412	5.232660756790275	0.66219782576423381	False	False
tumour	LAG3	P35	5.7977912004788879	5.8554914431018741	0.057700242622986231	False	True
tumour	LAG3	P37	5.5643781685650637	5.1509657835564973	-0.41341238500856647	False	False
