aoi_label	gsm_id	aoi_code	patient_id	compartment	dsp_run	raw	trimmed	stitched	aligned	deduplicated	n_probes	pct_aligned	pct_trimmed_retained	sequencing_saturation	umiq30	rtsq30	negprobe	q3_norm_sum	detection_at_1x	detection_at_1.25x	detection_at_1.5x	detection_at_1.75x	detection_at_2x	detection_at_2.5x	detection_at_3x	detection_at_4x	detection_at_5x	gene_detection_rate	qc_flag	qc_reason
TIME-B12	GSM6573782	TIME-B	P12	immune	DSP-1012300141221	1896258	1886756	1877274	1721148	513008	18834	0.907655	0.994989	0.701938	0.9919	0.9917	27.98	1792036.88	0.954263	0.89066	0.798705	0.696962	0.597678	0.423237	0.296405	0.167273	0.103723	0.597678	False	
TIME-B14	GSM6573742	TIME-B	P14	immune	DSP-1012300141221	6020609	5992699	5962192	5604517	1579496	18834	0.930889	0.995364	0.718174	0.9926	0.9924	32.97	1912346.98	0.934417	0.827538	0.668557	0.533005	0.432813	0.302771	0.213598	0.122767	0.081737	0.432813	False	
TIME-B15	GSM6573763	TIME-B	P15	immune	DSP-1012300141221	6335929	6326554	6292566	5788244	1851434	18834	0.913559	0.99852	0.680139	0.9926	0.9925	36.73	1954501.58	0.902322	0.742698	0.579223	0.465871	0.369958	0.244517	0.165026	0.090831	0.055633	0.369958	False	
TIME-B19	GSM6573764	TIME-B	P19	immune	DSP-1012300141221	6503548	6494986	6460556	6013455	2037437	18834	0.924642	0.998683	0.661187	0.9926	0.9928	47.16	1742824.19	0.846689	0.626993	0.440676	0.311972	0.231893	0.131593	0.087087	0.046646	0.029047	0.231893	False	
TIME-B20	GSM6573758	TIME-B	P20	immune	DSP-1012300141221	4154741	4149138	4127088	3840009	1345511	18834	0.924248	0.998651	0.649607	0.9928	0.9927	56.95	1766883.41	0.707553	0.472451	0.295656	0.197283	0.137691	0.083128	0.056542	0.032363	0.02236	0.137691	False	
TIME-B31	GSM6573795	TIME-B	P31	immune	DSP-1012310141221	7647105	7608580	7561492	7084758	1039667	18834	0.926463	0.994962	0.853253	0.9929	0.9925	47.22	1745661.51	0.830641	0.626244	0.442495	0.314379	0.227881	0.130202	0.085375	0.047555	0.030866	0.227881	False	
TIME-B35	GSM6573801	TIME-B	P35	immune	DSP-1012310141221	7933933	7183847	7137434	6747458	982495	18834	0.850456	0.905458	0.85439	0.9928	0.992	36.41	1857935.68	0.95651	0.894779	0.7634	0.604312	0.451535	0.259762	0.145929	0.069113	0.042901	0.451535	False	
TIME-B05	GSM6573712	TIME-B	P5	immune	DSP-1012300141221	8102340	8089355	8043771	7578686	2245650	18834	0.93537	0.998397	0.703689	0.9928	0.9925	39.95	2720005.35	0.916818	0.745319	0.571413	0.43522	0.334225	0.198299	0.132877	0.071681	0.045309	0.334225	False	
TIME-L12a	GSM6573736	TIME-L	P12	immune	DSP-1012300141221	6080845	6055432	6026028	5698451	1609318	18834	0.937115	0.995821	0.717587	0.9925	0.9923	26.34	2059598.89	0.934097	0.840323	0.719322	0.616668	0.51669	0.396812	0.308976	0.199155	0.138012	0.51669	False	
TIME-L12b	GSM6573769	TIME-L	P12	immune	DSP-1012300141221	20370912	20278504	20169436	18692644	3956712	18834	0.917614	0.995464	0.788328	0.9921	0.9921	37.12	1920809.15	0.965069	0.868995	0.69739	0.527709	0.403231	0.240131	0.152776	0.077832	0.047716	0.403231	False	
TIME-L15	GSM6573746	TIME-L	P15	immune	DSP-1012300141221	11369523	11351752	11285178	10487484	3313415	18834	0.922421	0.998437	0.68406	0.9924	0.9922	30.17	2213573.68	0.962715	0.875575	0.745908	0.617738	0.504493	0.357227	0.251043	0.140259	0.087943	0.504493	False	
TIME-L18	GSM6573777	TIME-L	P18	immune	DSP-1012300141221	5028675	5022045	4996671	4656261	1323070	18834	0.925942	0.998682	0.715851	0.9928	0.9929	40.03	1847080.48	0.947577	0.83706	0.670108	0.477051	0.349738	0.198727	0.124425	0.063229	0.038782	0.349738	False	
TIME-L19	GSM6573765	TIME-L	P19	immune	DSP-1012300141221	6412828	6403053	6367249	5857614	1898048	18834	0.913421	0.998476	0.675969	0.9925	0.9921	41.56	2237929.73	0.8637	0.691452	0.512517	0.383171	0.299775	0.190382	0.128062	0.072965	0.047181	0.299775	False	
TIME-L24a	GSM6573781	TIME-L	P24	immune	DSP-1012300141221	4729983	4705468	4676694	4348605	1128831	18834	0.91937	0.994817	0.740415	0.9924	0.992	42.04	2008793.37	0.84364	0.660693	0.491869	0.371724	0.285011	0.186637	0.127742	0.071841	0.047127	0.285011	False	
TIME-L24b	GSM6573783	TIME-L	P24	immune	DSP-1012300141221	2724142	2709836	2697236	2530369	690010	18834	0.928868	0.994748	0.727309	0.9923	0.9922	30.25	1958357.37	0.924147	0.817535	0.731465	0.594415	0.480582	0.348775	0.257034	0.142559	0.091045	0.480582	False	
TIME-L26	GSM6573785	TIME-L	P26	immune	DSP-1012300141221	2943788	2903389	2888695	2728048	977050	18834	0.926713	0.986277	0.64185	0.9931	0.9926	34.56	2275586.92	0.911255	0.780892	0.618487	0.515941	0.407564	0.262384	0.190328	0.106933	0.072965	0.407564	False	
TIME-L29	GSM6573789	TIME-L	P29	immune	DSP-1012310141221	21883514	21765020	21611629	20165804	3074082	18834	0.921507	0.994585	0.84756	0.9927	0.9927	37.35	2971752.69	0.925805	0.772868	0.609286	0.466995	0.363807	0.238472	0.162084	0.09142	0.059752	0.363807	False	
TIME-L30	GSM6573799	TIME-L	P30	immune	DSP-1012310141221	15398905	15319738	15218369	13972716	1871517	18834	0.907384	0.994859	0.866059	0.9926	0.9926	45.35	2614471.39	0.865465	0.662191	0.470044	0.340591	0.254895	0.151439	0.098695	0.055686	0.037231	0.254895	False	
TIME-L32	GSM6573792	TIME-L	P32	immune	DSP-1012310141221	17807237	17665942	17540081	16464947	2377368	18834	0.924621	0.992065	0.85561	0.9926	0.9928	33.41	2700439.94	0.938108	0.834225	0.674388	0.546967	0.443993	0.294961	0.20076	0.112763	0.071841	0.443993	False	
TIME-L35	GSM6573803	TIME-L	P35	immune	DSP-1012310141221	3609266	3593030	3572171	3139890	547449	18834	0.869953	0.995502	0.825647	0.9926	0.9925	49.71	1909153.35	0.82358	0.6608	0.427998	0.288702	0.171873	0.0827	0.049214	0.027174	0.018562	0.171873	False	
TIME-L40	GSM6573807	TIME-L	P40	immune	DSP-1012310141221	12282121	12224656	12147340	10785712	1390740	18834	0.878164	0.995321	0.871057	0.9925	0.9925	42.83	2139449.88	0.930726	0.790307	0.593345	0.413716	0.290414	0.153686	0.095271	0.049535	0.032256	0.290414	False	
