aoi_label	aoi_code	site	quantum	n_distinct_values	n_genes	lattice_fraction	smallest_value_implied_counts	dcc_median_counts	implied_median_counts	dcc_ratio	dcc_agrees	counts_reliable	negprobe_implied_counts	max_implied_counts
TBME22	TBME	brain	2.1200000000000045	327	18694	1	3.9952830188679163	34	33.957547169811242	0.99875138734738944	True	True	18.344339622641471	23913.207547169761
TBME27	TBME	brain	0.79999999999999716	486	18694	1	15.975000000000056	94	93.837500000000318	0.9982712765957481	True	True	84.525000000000304	56337.500000000204
TIME-B05	TIME-B	brain	1.210000000000008	545	18694	1	9.0330578512396098	53	53.17355371900792	1.0032745984718476	True	True	33.016528925619617	165041.32231404851
TIME-B12	TIME-B	brain	3.5	299	18694	0.94999999999999996	1	18	18.008571428571429	1.0004761904761905	True	True	7.9942857142857147	15398.285714285714
TIME-B14	TIME-B	brain	1.210000000000008	620	18694	1	5.0165289256198022	49	50.165289256198022	1.0237814133917964	True	True	27.247933884297339	24766.942148760168
TIME-B15	TIME-B	brain	1.0600000000000023	597	18694	1	5.9905660377358361	58	57.924528301886667	0.99869876382563216	True	True	34.650943396226339	50426.415094339514
TIME-B19	TIME-B	brain	0.85999999999999943	613	18694	1	9.988372093023262	77	76.895348837209355	0.99864089398973188	True	True	54.837209302325611	42430.232558139563
TIME-B20	TIME-B	brain	1.3199999999999932	485	18694	1	7.0000000000000364	52	51.977272727272997	0.99956293706294219	True	True	43.143939393939618	28665.151515151665
TIME-B31	TIME-B	brain	1.6899999999999977	410	18694	1	4.9881656804733794	40	39.905325443787035	0.99763313609467585	True	True	27.9408284023669	17871.59763313612
TIME-B35	TIME-B	brain	1.8999999999999915	385	18694	1	3.9947368421052811	37	36.936842105263324	0.99829302987198176	True	True	19.163157894736926	15328.421052631647
TIME-L05	TIME-L	lung	0.92000000000000171	705	18694	1	10.999999999999979	68	67.9673913043477	0.99952046035805442	True	True	45.815217391304259	279554.34782608645
TIME-L12a	TIME-L	lung	1.2800000000000011	638	18694	1	3.0078124999999973	42	43.078124999999964	1.0256696428571419	True	True	20.578124999999982	39310.156249999964
TIME-L12b	TIME-L	lung	0.48999999999999488	874	18694	1	19.877551020408372	137	136.12244897959326	0.99359451809922084	True	True	75.755102040817107	91287.755102041774
TIME-L15	TIME-L	lung	0.67000000000000171	793	18694	1	19.985074626865622	91	90.925373134328126	0.99917992455305638	True	True	45.029850746268544	107497.01492537286
TIME-L18	TIME-L	lung	1.4000000000000057	464	18694	1	4.9999999999999796	49	49.021428571428366	1.0004373177842523	True	True	28.592857142857028	32514.285714285583
TIME-L19	TIME-L	lung	1.1800000000000068	593	18694	1	10.016949152542315	53	53.11016949152512	1.0020786696514175	True	True	35.220338983050645	73433.050847457198
TIME-L24a	TIME-L	lung	1.7899999999999636	483	18694	0.94999999999999996	3.9888268156425388	35	34.905027932961602	0.9972865123703315	True	True	23.486033519553551	25720.111731844099
TIME-L24b	TIME-L	lung	2.8499999999999659	379	18694	0.94999999999999996	1.9964912280701994	21	20.964912280702006	0.99832915622390506	True	True	10.614035087719426	15091.929824561585
TIME-L26	TIME-L	lung	2.3300000000000409	444	18694	1	3.0042918454935092	26	26.051502145922289	1.0019808517662419	True	True	14.832618025750813	39446.781115879137
TIME-L29	TIME-L	lung	0.96999999999999886	675	18694	1	10.979381443298982	65	64.896907216494924	0.998413957176845	True	True	38.505154639175302	349690.72164948494
TIME-L30	TIME-L	lung	1.4000000000000057	533	18694	1	6.9999999999999725	47	47.02142857142838	1.0004559270516677	True	True	32.392857142857011	148078.57142857084
TIME-L32	TIME-L	lung	1.1400000000000006	606	18694	1	3.9912280701754366	54	54.903508771929801	1.0167316439246259	True	True	29.307017543859633	159175.43859649115
TIME-L35	TIME-L	lung	3.5	249	18694	0.94999999999999996	2	20	20.008571428571429	1.0004285714285714	True	True	14.202857142857143	41180
TIME-L40	TIME-L	lung	1.5400000000000063	442	18694	1	5.0129870129869927	45	45.090909090908909	1.002020202020198	True	True	27.811688311688197	95409.090909090519
TIME-L43	TIME-L	lung	1.1999999999999957	512	18694	1	6.991666666666692	58	58.900000000000212	1.0155172413793141	True	True	41.516666666666815	86700.000000000306
mLN01	mLN	lymph_node	0.38000000000000256	1320	18694	1	26.28947368421035	136.5	138.49999999999906	1.0146520146520077	True	True	69.947368421052161	85905.263157894165
mLN02	mLN	lymph_node	0.51000000000000512	1142	18694	1	11.098039215686164	95	95.803921568626492	1.0084623323013315	True	True	47.235294117646582	74692.156862744348
mLN03	mLN	lymph_node	0.71000000000000085	898	18694	1	10.014084507042242	77	77.140845070422444	1.001829156758733	True	True	48.169014084506991	100754.92957746467
mLN04	mLN	lymph_node	0.64999999999999147	883	18694	1	11.92307692307708	92	92.384615384616595	1.0041806020067021	True	True	56.261538461539203	78578.461538462565
mLN05	mLN	lymph_node	0.73000000000000043	906	18694	1	12.972602739726021	72	72.835616438356126	1.0116057838660573	True	True	41.397260273972577	70157.534246575306
mLN06	mLN	lymph_node	0.65000000000000213	904	18694	1	17.015384615384562	92	92.046153846153544	1.0005016722407993	True	True	68.999999999999773	163584.61538461485
mLN07	mLN	lymph_node	0.54999999999999716	1061	18694	1	13.036363636363703	94	94.309090909091395	1.0032882011605468	True	True	57.67272727272757	79452.727272727687
mLN09	mLN	lymph_node	1.0999999999999943	709	18694	1	5.9818181818182126	51	50.854545454545715	0.99714795008913171	True	True	32.027272727272887	48796.363636363887
mLN10	mLN	lymph_node	0.48000000000000398	1325	18694	1	7.0624999999999414	82	83.729166666665961	1.0210873983739752	True	True	37.437499999999687	64418.749999999469
mLN11	mLN	lymph_node	0.73000000000000398	881	18694	1	6.0410958904109258	69	70.397260273972222	1.0202501488981481	True	True	34.315068493150498	50971.232876712049
mLN12	mLN	lymph_node	0.84000000000000341	801	18694	1	6.0238095238094989	55	56.202380952380729	1.0218614718614678	True	True	23.797619047618948	30977.380952380827
mLN14	mLN	lymph_node	0.54999999999999716	1017	18694	1	15.854545454545537	101	101.10909090909144	1.0010801080108063	True	True	81.272727272727693	118873.72727272789
mLN20	mLN	lymph_node	1.2300000000000004	540	18694	1	8.9999999999999964	53	53.016260162601604	1.0003067955207849	True	True	34.691056910569095	58483.739837398352
